problems2021-aes-key-recovery-AES1-50-15, 3600.12, 0.013173, 596.8, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-aes-key-recovery-AES1-60-18, 3600.11, 0.010704, 547.0, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-aes-key-recovery-AES1-70-21, 3600.13, 0.005375, 553.4, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-aes-key-recovery-AES1-72-29, 3600.13, 0.006149, 492.3, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-aes-key-recovery-AES1-74-34, 3600.06, 0.004391, 617.8, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-aes-key-recovery-AES2-50-51, 3600.06, 0.018505, 517.6, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-aes-key-recovery-AES2-50-54, 3600.09, 0.018208, 732.8, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-aes-key-recovery-AES2-50-55, 3600.16, 0.015522, 720.6, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-aes-key-recovery-AES2-60-58, 3600.10, 0.008887, 508.1, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-aes-key-recovery-AES2-70-64, 3600.10, 0.005846, 591.7, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-aes-key-recovery-AES2-74-74, 3600.11, 0.004696, 639.4, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-aes-key-recovery-AES2-74-75, 3600.09, 0.007501, 659.4, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-aes-mul_8_11, 3600.99, 37.985307, 13708.2, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-aes-mul_8_13, 3601.01, 39.200134, 14280.0, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-aes-mul_8_14, 3600.84, 36.964069, 12579.0, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-aes-mul_8_3, 3600.17, 3.981569, 1947.6, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-aes-mul_8_9, 3600.39, 10.443569, 6417.5, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-aes-sbox_4, 3600.03, 0.003121, 61.0, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-aes-sbox_8, 114.22, , 32773.5, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-atcoss-mesat-atcoss_mesat_01, 249.75, 0.018019, 103.6, 257.02, 235297213, 0.125826, 0.041337, 104.1, 1026.03, 2205.1, 1
problems2021-atcoss-mesat-atcoss_mesat_02, 3600.12, 0.015915, 756.3, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-atcoss-mesat-atcoss_mesat_03, 3600.10, 0.015884, 463.2, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-atcoss-mesat-atcoss_mesat_04, 3600.13, 0.019590, 508.9, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-atcoss-mesat-atcoss_mesat_11, 3600.10, , 1256.5, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-atcoss-mesat-atcoss_mesat_15, 3600.11, , 1245.4, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-atcoss-mesat-atcoss_mesat_18, 3600.13, 0.015370, 944.6, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-atcoss-sugar-atcoss_sugar_01, 125.57, 0.011767, 77.6, 137.17, 330534040, 0.120291, 0.039547, 86.4, 714.50, 1713.4, 1
problems2021-atcoss-sugar-atcoss_sugar_05, 3600.07, , 818.4, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-atcoss-sugar-atcoss_sugar_06, 894.39, 0.012867, 391.6, 920.29, 352324898, 0.072968, 0.020856, 400.5, 990.42, 1002.4, 0
problems2021-atcoss-sugar-atcoss_sugar_10, 3600.11, 0.014146, 448.7, NA, NA, NA, NA, NA, NA, NA, NA
problems2021-bcp-hipp-yRa1-simp-simp-abcd_25.08, 0.97, 0.000270, 0.0, 1.01, 428216, 0.002355, 0.002359, 0.0, 0.98, 26.5, 1
problems2021-bcp-hipp-yRa1-simp-simp-ace_35.09, 0.14, 0.000394, 0.0, 0.19, 494091, 0.003111, 0.001496, 0.0, 1.35, 28.4, 1
problems2021-bcp-hipp-yRa1-simp-simp-cf_15.03, 0.16, 0.000149, 0.0, 0.20, 186100, 0.001171, 0.000710, 0.0, 0.70, 18.6, 1
