problems2010-pms_crafted-frb-frb20-11-1.partial, 0.51, 0.006476, 6.0, 0.91, 12245177, 0.094601, 0.024042, 6.3, 15258.24, 416.3, 1
problems2010-pms_crafted-frb-frb20-11-2.partial, 0.53, 0.006509, 5.8, 0.90, 12170306, 0.094175, 0.022362, 6.0, 16070.89, 417.8, 1
problems2010-pms_crafted-frb-frb20-11-3.partial, 1.04, 0.006465, 6.0, 1.14, 12971113, 0.169075, 0.037753, 6.2, 18000.08, 414.9, 0
problems2010-pms_crafted-frb-frb20-11-4.partial, 0.51, 0.006452, 5.8, 0.90, 12109379, 0.093849, 0.022944, 6.0, 14559.94, 427.2, 1
problems2010-pms_crafted-frb-frb20-11-5.partial, 0.61, 0.006493, 5.8, 1.00, 12071658, 0.094186, 0.023057, 6.0, 17584.75, 415.8, 1
problems2010-pms_crafted-JobShop-la01-666-0671, 0.72, 0.000016, 24.5, 0.91, 530592, 0.000108, 0.000070, 23.1, 3.54, 330.7, 1
problems2010-pms_crafted-MAXCLIQUE-RANDOM-max_clq_150-10-4917-1.clq, 1.55, 0.003260, 6.0, 1.75, 9249030, 0.048400, 0.012107, 6.3, 18000.10, 182.1, 0
problems2010-pms_crafted-MAXCLIQUE-RANDOM-max_clq_150-10-4917-3.clq, 1.53, 0.003963, 6.3, 1.73, 9361306, 0.047933, 0.013335, 6.3, 18000.07, 182.3, 0
problems2010-pms_crafted-MAXCLIQUE-RANDOM-max_clq_150-11-5364-3.clq, 1.95, 0.003266, 6.5, 2.74, 11610207, 0.048229, 0.011985, 6.5, 18000.09, 182.6, 0
problems2010-pms_crafted-MAXCLIQUE-RANDOM-max_clq_150-12-5811-1.clq, 4.47, 0.003255, 8.6, 4.15, 17531274, 0.048149, 0.011671, 8.9, 18000.10, 180.8, 0
problems2010-pms_crafted-MAXCLIQUE-RANDOM-max_clq_150-14-6705-1.clq, 10.86, 0.003066, 11.7, 11.93, 44598360, 0.047801, 0.011645, 11.7, 18000.08, 182.6, 0
problems2010-pms_crafted-MAXCLIQUE-RANDOM-max_clq_150-14-6705-2.clq, 8.94, 0.003327, 9.5, 9.92, 35686916, 0.047706, 0.011149, 9.6, 18000.06, 185.6, 0
problems2010-pms_crafted-MAXCLIQUE-RANDOM-max_clq_150-16-7599-1.clq, 25.63, 0.003281, 13.9, 26.48, 84131300, 0.040495, 0.011126, 14.0, 18000.04, 182.1, 0
